ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;lat_dec;lon_dec
251200130;Opoczno;Drzewiczka (2548);51 22 44;20 14 04;200.0;51.37888888888889;20.234444444444446
251200140;Ruszkowice;Radomka (252);51 20 21;20 39 57;210.0;51.33916666666667;20.66583333333333
251200150;Łaziska;Radomka (252);51 19 26;20 55 33;180.0;51.323888888888895;20.925833333333333
251200170;Chełsty;Czarna (Maleniecka) (2544);51 12 57;20 08 55;220.0;51.215833333333336;20.148611111111112
251200220;Włochów;Czarna (2544);51 05 56;20 36 44;345.0;51.098888888888894;20.612222222222222
251200240;Stanowiska;Czarna (Maleniecka) (2544);51 02 31;20 22 17;305.0;51.04194444444444;20.37138888888889
251200250;Suchedniów;Kamienna (234);51 02 59;20 49 50;265.0;51.04972222222222;20.830555555555556
251200270;Dąbrówka Stara;Pilica (254);51 46 49;20 44 13;174.0;51.780277777777776;20.736944444444447
251200290;Teofilów;Pilica (254);51 31 41;20 10 58;150.0;51.528055555555554;20.18277777777778
251200320;Mszczonów;Bzura (272);51 59 03;20 29 50;161.0;51.98416666666667;20.497222222222224
251210040;JARCZEW;Wilga (2536);51 48 53;21 58 24;180.0;51.81472222222222;21.973333333333333
251210120;PUŁAWY;Wisła (2);51 24 46;21 57 58;142.0;51.41277777777778;21.96611111111111
251210230;Starachowice;Kamienna (234);51 02 30;21 03 21;265.0;51.041666666666664;21.055833333333332
251210240;Brody Iłżeckie;Kamienna (234);51 01 07;21 11 49;190.0;51.01861111111111;21.196944444444444
251210320;Kazanów;Iłżanka (236);51 16 42;21 28 03;158.0;51.27833333333333;21.467499999999998
251220040;Radzyń Podlaski;Tyśmienica (248);51 46 09;22 36 03;150.0;51.76916666666666;22.600833333333334
251220230;Ostrówek-Kolonia;Tyśmienica (248);51 35 37;22 36 01;;51.593611111111116;22.60027777777778
251220250;Ostrów Lubelski;Tyśmienica (248);51 29 46;22 52 11;157.0;51.49611111111111;22.869722222222222
251220260;Turze Rogi;Krzna (267144);51 55 37;22 27 50;159.0;51.926944444444445;22.46388888888889
251230120;Bezek;Wieprz (24);51 10 38;23 15 49;224.0;51.17722222222222;23.26361111111111
251230220;Depułtycze Królewskie;Uherka (2671434);51 04 59;23 26 10;216.0;51.08305555555556;23.43611111111111
251230240;Studzianka;Zielawa (2671448);51 55 54;23 12 53;143.0;51.931666666666665;23.21472222222222
252140070;Boleszkowice;Dopływ z Boleszkowic (191298);52 43 37;14 34 00;50.0;52.72694444444445;14.566666666666666
252140090;Kostrzyn Nad Odrą;Maszówek (1894);52 35 55;14 39 40;26.0;52.59861111111111;14.661111111111111
252140150;Maszewo;Odra (1);52 04 11;14 55 08;68.0;52.069722222222225;14.918888888888889
252140160;Trzcińsko-Zdrój;Rurzyca (1886592);52 57 52;14 35 17;53.0;52.964444444444446;14.588055555555556
252140210;Boczów;Rzepia (1786);52 19 01;14 56 19;79.0;52.316944444444445;14.938611111111111
252140220;Chojna;Rurzyca (1918);52 56 27;14 24 15;49.0;52.94083333333333;14.404166666666667
252150050;Krzyż;Noteć (188);52 52 52;15 59 01;34.0;52.88111111111111;15.98361111111111
252150070;Drezdenko;Noteć (188);52 51 17;15 50 28;31.0;52.85472222222222;15.841111111111111
252150180;Lubinicko-Świebodzin;Obrzyca (156);52 14 34;15 32 43;88.0;52.24277777777778;15.545277777777777
252150270;BABIMOST;Gniła Obra (1568);52 08 37;15 48 12;57.0;52.14361111111111;15.803333333333335
252150350;Kleszczewo;Obra (1878);52 27 21;15 23 23;93.0;52.45583333333334;15.389722222222222
252160050;Ryczywół;Wełna (186);52 48 57;16 50 20;70.0;52.81583333333333;16.83888888888889
252160110;Szamotuły-Baborówka;Sama (1872);52 35 04;16 38 17;74.0;52.58444444444444;16.638055555555557
252160160;Paproć;Obra (1878);52 18 16;16 10 59;77.0;52.30444444444444;16.18305555555556
252160230;Wielichowo;Obra (1878);52 06 50;16 21 23;65.0;52.11388888888889;16.35638888888889
252160350;Kopaszewo;Kanał Mosiński (1856);52 00 12;16 49 06;91.0;52.00333333333333;16.81833333333333
252160370;Wronki;Warta (18);52 41 33;16 22 23;70.0;52.692499999999995;16.373055555555556
252170060;Janowiec Wielkopolski;Wełna (186);52 45 17;17 27 44;95.0;52.75472222222222;17.46222222222222
252170110;Gniezno;Wełna (186);52 33 27;17 31 55;170.0;52.5575;17.531944444444445
252170180;Września;Wrześnica (1838);52 18 54;17 35 33;105.0;52.315;17.592499999999998
252170190;SŁUPCA;Warta (18);52 16 19;17 53 00;89.0;52.27194444444444;17.883333333333333
252170210;Kórnik;Warta (18);52 14 43;17 06 07;77.0;52.24527777777778;17.101944444444445
252170330;Nowa Wieś Podgórna;Warta (18);52 08 32;17 35 21;73.0;52.14222222222222;17.589166666666664
252170390;Gniezno II;Wełna (186);52 31 25;17 37 49;117.0;52.52361111111111;17.630277777777778
252170410;Mogilno;Noteć Zachodnia (1882);52 38 40;17 58 00;95.0;52.644444444444446;17.966666666666665
252170420;Rogowo;Wełna (186);52 43 57;17 38 36;94.0;52.7325;17.643333333333334
252180060;Pakość;Noteć (188);52 47 58;18 05 33;76.0;52.79944444444444;18.092499999999998
252180080;Kołuda Wielka;Noteć (188);52 44 09;18 08 56;88.0;52.73583333333333;18.148888888888887
