LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
476;151220040;Witowice;Kurówka (2392);51 24 33;22 05 10;;puławski
477;151220050;MŁYNISKA;Minina (2492);51 32 34;22 23 12;;lubartowski
478;151220070;Lublin;Bystrzyca (246);51 13 04;22 32 32;;Lublin
479;151220080;Tchórzew;Tyśmienica (248);51 40 45;22 33 22;;radzyński
480;151220090;Lubartów;Wieprz (24);51 29 53;22 38 37;;lubartowski
481;151220100;Sobianowice;Bystrzyca (246);51 18 06;22 41 17;;lubelski
482;151220110;Siemień;Tyśmienica (248);51 38 35;22 46 42;;parczewski
483;151220120;PARCZEW;Piwonia (2482);51 38 51;22 54 29;;parczewski
484;151220130;BISKUPICE;Giełczewka (244);51 09 18;22 56 43;;świdnicki
485;151220150;Zemborzyce;Bystrzyca (246);51 09 20;22 29 31;;Lublin
486;151230010;Trawniki;Wieprz (24);51 08 19;23 00 04;;świdnicki
487;151230020;Rossosz;Muława (26714484);51 51 28;23 07 55;;bialski
488;151230030;Okuninka;Włodawka (2671436);51 31 18;23 31 22;;włodawski
489;151230040;WŁODAWA;Bug (26714);51 33 05;23 33 59;;włodawski
490;151230050;RUDA-OPALIN;Uherka (2671434);51 15 24;23 35 05;;chełmski
491;151230060;Dorohusk;Bug (26714);51 11 06;23 48 28;;chełmski
492;152140010;Bielinek;Odra (1);52 55 45;14 09 15;;gryfiński
493;152140020;Gozdowice;Odra (1);52 45 51;14 19 04;;gryfiński
494;152140050;Słubice;Odra (1);52 20 53;14 33 20;;słubicki
495;152140060;Kostrzyn nad Odrą;Odra (1);52 35 57;14 36 38;;gorzowski
496;152140070;Kostrzyn nad Odrą;Warta (18);52 34 55;14 39 44;;gorzowski
497;152140080;Maczków;Ilanka (178);52 16 30;14 44 40;;słubicki
498;152140090;Biała Góra;Odra (1);52 05 36;14 43 38;;słubicki
499;152140100;Dolsk;Myśla (1912);52 48 10;14 50 35;;myśliborski
500;152140110;SĄDÓW;Pliszka (176);52 13 10;14 50 51;;słubicki
501;152140120;Myślibórz;Myśla (1912);52 55 17;14 51 44;;myśliborski
502;152140130;Połęcko;Odra (1);52 03 09;14 53 32;;krośnieński
503;152150010;Świerkocin;Warta (18);52 39 02;14 59 58;;gorzowski
504;152150020;Stary Raduszec;Bóbr (16);52 02 11;15 04 43;;krośnieński
505;152150040;Gorzów Wielkopolski;Warta (18);52 43 48;15 15 11;;Gorzów Wielkopolski
506;152150050;Nietków;Odra (1);52 02 47;15 20 51;;zielonogórski
507;152150080;Santok;Warta (18);52 44 01;15 23 48;;gorzowski
508;152150090;Santok;Noteć (188);52 44 21;15 25 04;;gorzowski
509;152150100;Bledzew;Obra (1878);52 31 03;15 25 16;;międzyrzecki
510;152150110;Skwierzyna;Warta (18);52 36 07;15 30 01;;międzyrzecki
511;152150130;Cigacice;Odra (1);52 01 59;15 36 27;;zielonogórski
512;152150140;Gościmiec;Noteć (188);52 46 32;15 38 18;;strzelecko-drezdenecki
513;152150150;Ługi;Jez. Żabie (Mierzęcka Struga) (18888);52 56 40;15 41 36;;strzelecko-drezdenecki
514;152150180;Mierzęcin;Mierzęcka Struga (18888);52 57 21;15 49 46;;strzelecko-drezdenecki
515;152150190;Nowe Drezdenko;Noteć (188);52 51 03;15 50 15;;strzelecko-drezdenecki
516;152150200;Międzychód;Warta (18);52 36 15;15 53 10;;międzychodzki
517;152150220;Zbąszyń;Obra (1878);52 15 01;15 55 23;;nowotomyski
518;152150230;Chełst;Miała (18892);52 49 45;15 56 57;;czarnkowsko-trzcianecki
519;152150240;Drawiny;Drawa (1888);52 53 08;15 58 40;;czarnkowsko-trzcianecki
520;152160010;Krzyż;Noteć (188);52 51 42;16 00 06;;czarnkowsko-trzcianecki
521;152160050;Wronki;Warta (18);52 42 42;16 22 48;;szamotulski
