LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
267;250160980;Wolibórz;Ścinawka (122);50 35 26;16 34 41;518.0;kłodzki
268;250161020;ZIELENIEC II;Bystrzyca Dusznicka (1218);50 20 40;16 23 57;721.0;kłodzki
269;250161030;Rzeczka;Walimka (13418);50 40 36;16 26 51;624.0;wałbrzyski
270;250161040;Złoty Stok;Nysa Kłodzka (12);50 25 47;16 51 02;536.0;ząbkowicki
271;250161060;Łomnica;Bystrzyca (134);50 40 20;16 19 42;570.0;wałbrzyski
272;250161070;Jodłów;Nysa Kłodzka (12);50 10 22;16 46 16;828.0;kłodzki
273;250161080;Starkówek;Nysa Kłodzka (12);50 22 24;16 31 05;484.0;kłodzki
274;250161090;Wolbromek;Nysa Szalona (1384);50 55 47;16 07 38;290.0;jaworski
275;250170110;Dobrogoszcz;Pluskawa (133646);50 45 31;17 01 02;175.0;strzeliński
276;250170250;Otmuchów;Nysa Kłodzka (12);50 28 20;17 09 59;212.0;nyski
277;250170290;Dziewiętlice;Świdna (12548);50 24 41;17 05 03;241.0;nyski
278;250170330;Głuchołazy;Biała Głuchołaska (1258);50 18 08;17 23 14;348.0;nyski
279;250170340;Jarnołtówek;Złoty Potok (117644);50 17 17;17 26 17;346.0;nyski
280;250170390;Głubczyce;Psina (1152);50 10 55;17 47 41;290.0;głubczycki
281;250170770;Unikowice;Nysa Kłodzka (12);50 26 33;17 00 31;248.0;nyski
282;250170790;Wojnowice;Troja (11526);50 08 01;17 52 06;283.0;głubczycki
283;250170810;Branice;Opawa (112);50 03 04;17 46 33;290.0;głubczycki
284;250170840;Meszno;Nysa Kłodzka (12);50 25 57;17 08 29;213.0;nyski
285;250170850;Kujawy;Osobłoga (1176);50 26 13;17 48 14;180.0;krapkowicki
286;250170860;Przylesie;Oława (1334);50 46 56;17 20 59;164.0;brzeski
287;250170870;Opole-WIK;Odra (1);50 40 52;17 54 04;149.0;Opole
288;250180030;Stare Olesno;Stobrawa (132);50 54 17;18 21 50;224.0;oleski
289;250180110;Dobrodzień;Myślinka (118384);50 43 45;18 25 32;227.0;oleski
290;250180190;Krupski Młyn;Mała Panew (118);50 34 09;18 37 24;225.0;tarnogórski
291;250180210;Zielona;Mała Panew (118);50 32 57;18 58 05;284.0;tarnogórski
292;250180250;Brynica;Brynica (2126);50 28 18;18 59 56;283.0;tarnogórski
293;250180270;Świerklaniec;Brynica (2126);50 25 44;18 56 33;285.0;tarnogórski
294;250180330;Łabędy;Kłodnica (116);50 20 31;18 36 55;208.0;Górnośląsko-Zagłębiowska Metropolia
295;250180380;Sukowice;Cisek (11594);50 15 46;18 10 11;180.0;kędzierzyńsko-kozielski
296;250180450;Zwonowice;Sumina (11568);50 08 34;18 26 16;260.0;rybnicki
297;250180530;Kietrz;Odra (1);50 04 56;18 00 37;220.0;głubczycki
298;250180540;Rydułtowy;Odra (1);50 03 01;18 25 46;295.0;wodzisławski
299;250180560;Żory;Ruda (1156);50 03 13;18 41 47;245.0;Żory
300;250180580;Droniowice;Liswarta (1816);50 41 43;18 48 29;270.0;lubliniecki
301;250180590;RYBNIK-STODOŁY;Ruda (1156);50 09 16;18 28 59;216.0;Rybnik
302;250180640;Zabrze;Kłodnica (116);50 21 54;18 45 13;270.0;Górnośląsko-Zagłębiowska Metropolia
303;250180650;Pławniowice;Kłodnica (116);50 22 35;18 28 56;218.0;gliwicki
304;250180660;Ruda Śląska;Kłodnica (116);50 14 49;18 49 12;236.0;Górnośląsko-Zagłębiowska Metropolia
305;250180670;Trzebiszyn;Budkowiczanka (1328);50 51 54;18 11 27;196.0;kluczborski
306;250180680;Czerwionka-Leszczyny;Bierawka (1158);50 09 16;18 39 49;246.0;rybnicki
307;250180690;Pilchowice;Bierawka (1158);50 13 27;18 35 31;221.0;gliwicki
308;250180710;Boguszyce;Kłodnica (116);50 26 13;18 30 37;211.0;gliwicki
309;250180720;Modzurów;Odra (1);50 09 38;18 08 20;244.0;raciborski
310;250180730;Bierawa;Odra (1);50 16 56;18 14 41;178.0;kędzierzyńsko-kozielski
311;250180740;Sierakowice;Odra (1);50 15 56;18 25 53;203.0;gliwicki
312;250180750;Wąsice;Stobrawa (132);50 59 06;18 01 47;169.0;kluczborski
313;250180760;Strzelce Opolskie;Mała Panew (118);50 31 04;18 18 40;229.0;strzelecki
314;250190010;Januszewice;Czarna (Włoszczowska) (2542);50 56 31;19 57 40;220.0;włoszczowski
315;250190030;Silniczka;Pilica (254);50 55 19;19 45 32;215.0;radomszczański
316;250190080;Wąsosz;Pilica (254);50 44 15;19 41 09;230.0;częstochowski
317;250190140;Żarki;Warta (18);50 38 24;19 22 49;380.0;myszkowski
318;250190150;BONOWICE;Pilica (254);50 37 16;19 47 37;260.0;zawierciański
319;250190160;Lgota Górna;Warta (18);50 36 03;19 14 07;320.0;myszkowski
320;250190170;Kręciwilk;Warta (18);50 32 43;19 22 13;307.0;myszkowski
321;250190180;PIWOŃ;Przemsza (212);50 28 59;19 15 04;295.0;będziński
322;250190210;Pilica;Pilica (254);50 27 35;19 38 49;351.0;zawierciański
323;250190220;Łazy;Przemsza (212);50 25 52;19 23 02;350.0;zawierciański
324;250190260;Golczowice;Biała Przemsza (2128);50 21 36;19 35 45;324.0;olkuski
325;250190290;OLEWIN;Biała Przemsza (2128);50 16 37;19 36 13;398.0;olkuski
326;250190310;Maczki;Biała Przemsza (2128);50 15 31;19 15 46;265.0;Górnośląsko-Zagłębiowska Metropolia
327;250190380;Bieruń Stary;Mleczna (21188);50 05 03;19 05 41;255.0;bieruńsko-lędziński
328;250190470;WOLA JUSTOWSKA;Wisła (2);50 03 50;19 53 25;204.0;Kraków
329;250190510;Piwoń;Przemsza (212);50 29 04;19 14 42;300.0;będziński
330;250190520;TYCHY;Gostynia (2118);50 07 55;19 00 04;255.0;Górnośląsko-Zagłębiowska Metropolia
331;250190530;Katowice Pyrzowice;Brynica (2126);50 28 38;19 05 42;301.0;tarnogórski
332;250190780;Będkowice;Wisła (2);50 10 45;19 46 10;434.0;krakowski
333;250190790;Chrzanów;Wisła (2);50 06 45;19 22 36;252.0;chrzanowski
334;250190810;Lubsza;Mała Panew (118);50 36 35;19 00 15;335.0;lubliniecki
335;250190820;Dąbrowa Górnicza;Przemsza (212);50 24 08;19 15 52;321.0;Górnośląsko-Zagłębiowska Metropolia
336;250190830;Mysłów;Dopływ spod Mysłowa (1811342);50 34 22;19 12 54;322.0;myszkowski
337;250190840;Rokitno Szlacheckie;Przemsza (212);50 26 07;19 25 52;343.0;zawierciański
338;250190850;TROKS;Biała Przemsza (2128);50 18 14;19 38 09;411.0;olkuski
339;250190880;Sułoszowa;Prądnik (21374);50 15 30;19 44 24;442.0;krakowski
340;250200010;BARTKÓW;Czarna Nida (2164);50 58 43;20 38 59;330.0;kielecki
341;250200040;Bodzentyn;Pokrzywianka (23484);50 56 49;20 57 05;270.0;kielecki
342;250200050;RYKOSZYN;Nida (216);50 51 56;20 24 42;274.0;kielecki
343;250200110;CISÓW;Czarna (2178);50 45 31;20 54 10;326.0;kielecki
344;250200130;KLISZÓW;Nida (216);50 36 45;20 31 29;206.0;pińczowski
345;250200210;MIECHÓW;Szreniawa (21392);50 21 46;20 01 58;299.0;miechowski
346;250200220;SIELEC;Nidzica (21398);50 19 07;20 25 14;200.0;kazimierski
347;250200230;BORUSOWA;Wisła (2);50 16 40;20 47 13;171.0;dąbrowski
348;250200250;RADZIEMICE;Szreniawa (21392);50 15 12;20 13 51;240.0;proszowicki
349;250200280;IGOŁOMIA;Wisła (2);50 05 37;20 15 23;202.0;krakowski
350;250200290;BORZĘCIN;Uszwica (21396);50 03 57;20 42 36;192.0;brzeski
351;250200360;DĄBROWA TARNOWSKA;Breń (2174);50 11 10;20 59 28;197.0;dąbrowski
352;250200370;KONIECZNO;Nida (216);50 47 39;20 02 03;268.0;włoszczowski
353;250200380;BIELINY PODUCHOWNE;Czarna Nida (2164);50 50 58;20 57 32;321.0;kielecki
354;250200490;Kokotów;Wisła (2);50 01 18;20 04 15;;wielicki
355;250200520;Dobrowoda;Nida (216);50 23 40;20 45 56;208.0;buski
356;250200550;Brończyce;Szreniawa (21392);50 14 00;20 06 12;256.0;krakowski
357;250210020;Nosów;Pokrzywianka (23484);50 55 09;21 13 09;265.0;ostrowiecki
358;250210030;Annopol;Wisła (2);50 53 22;21 50 03;165.0;kraśnicki
359;250210040;SŁUPIA NOWA;Pokrzywianka (23484);50 51 51;21 05 00;290.0;kielecki
360;250210050;Święty Krzyż;Pokrzywianka (23484);50 51 34;21 03 05;575.0;kielecki
361;250210070;BARANÓWEK;Koprzywianka (2194);50 46 12;21 15 28;283.0;opatowski
362;250210080;SADKÓW;Czarna (2178);50 44 12;21 04 38;365.0;kielecki
363;250210090;JASTRZĘBSKA WOLA;Czarna (2178);50 43 29;21 11 13;263.0;opatowski
364;250210110;RAKÓW;Czarna (2178);50 40 18;21 02 55;220.0;kielecki
365;250210120;KLIMONTÓW;Koprzywianka (2194);50 39 12;21 27 01;203.0;sandomierski
366;250210130;STASZÓW;Czarna (2178);50 35 42;21 11 06;219.0;staszowski
367;250210160;MAJDAN KRÓLEWSKI;Łęg (2198);50 22 00;21 45 07;200.0;kolbuszowski
368;250210170;WILCZA WOLA;Łęg (2198);50 20 29;21 55 55;190.0;kolbuszowski
369;250210180;CHORZELÓW;Wisła (2);50 20 53;21 26 39;170.0;mielecki
370;250210210;MIELEC;Wisłoka (218);50 16 46;21 25 58;170.0;mielecki
371;250210220;KOLBUSZOWA;Łęg (2198);50 15 44;21 44 45;200.0;kolbuszowski
