ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;Powiat;lat_dec;lon_dec
150220120;Zakłodzie;Pór (24174);50 45 27;22 51 36;;zamojski;50.7575;22.860000000000003
150220130;ZAPAŁÓW;Lubaczówka (2256);50 06 02;22 53 24;;jarosławski;50.10055555555556;22.89
150220140;CHARYTANY;Szkło (2254);50 00 12;22 56 19;;jarosławski;50.00333333333333;22.93861111111111
150220160;OSUCHY;Tanew (228);50 23 56;22 57 18;;biłgorajski;50.39888888888889;22.955
150220170;Zwierzyniec;Wieprz (24);50 36 40;22 58 00;;zamojski;50.611111111111114;22.966666666666665
150230010;Nielisz;Wieprz (24);50 48 31;23 02 28;;zamojski;50.808611111111105;23.041111111111114
150230020;Wirkowice;Wieprz (24);50 51 58;23 05 56;;krasnostawski;50.86611111111111;23.098888888888887
150230030;KRZAK;Łabuńka (242);50 48 09;23 06 16;;zamojski;50.802499999999995;23.104444444444447
150230040;Krasnystaw;Wieprz (24);50 59 07;23 10 36;;krasnostawski;50.98527777777778;23.17666666666667
150230050;Orłów Drewniany;Wolica (2432);50 54 54;23 11 48;;krasnostawski;50.915;23.196666666666665
150230070;Gozdów;Huczwa (267142);50 46 39;23 48 26;;hrubieszowski;50.777499999999996;23.807222222222222
150230080;Michalów;Wieprz (24);50 44 03;23 01 14;;zamojski;50.73416666666667;23.020555555555553
150240010;Strzyżów;Bug (26714);50 50 22;24 02 09;;hrubieszowski;50.839444444444446;24.035833333333336
150240020;Kryłów;Bug (26714);50 40 38;24 03 45;;hrubieszowski;50.67722222222222;24.0625
151140010;Gubin;Nysa Łużycka (174);51 58 19;14 42 25;;krośnieński;51.971944444444446;14.706944444444444
151140020;Pleśno;Lubsza (1748);51 54 56;14 45 16;;krośnieński;51.91555555555556;14.754444444444445
151140030;Przewoźniki;Skroda (1746);51 31 31;14 49 18;;żarski;51.525277777777774;14.821666666666667
151140040;Przewóz;Nysa Łużycka (174);51 28 20;14 56 49;;zgorzelec;51.47222222222222;14.946944444444444
151140050;Ręczyn;Witka (1742);51 02 35;14 58 48;;zgorzelecki;51.043055555555554;14.98
151140060;Zgorzelec;Nysa Łużycka (174);51 09 40;14 59 37;;zgorzelecki;51.16111111111111;14.993611111111111
151140170;Janiszowice;Nysa Łużycka (174);51 46 43;14 39 13;;żarski;51.77861111111111;14.653611111111111
151140180;Olszyna;Nysa Łużycka (174);51 39 59;14 45 11;;żarski;51.66638888888889;14.753055555555555
151140190;Gubin;Lubsza (1748);51 56 31;14 44 04;;krośnieński;51.94194444444444;14.734444444444444
151140200;Sanice;Nysa Łużycka (174);51 25 02;14 58 03;;zgorzelec;51.41722222222222;14.9675
151150010;Zgorzelec;Czerwona Woda (1744);51 07 51;15 01 14;;zgorzelecki;51.130833333333335;15.020555555555557
151150020;Ostróżno;Witka (1742);51 01 15;15 01 58;;zgorzelecki;51.020833333333336;15.03277777777778
151150030;Iłowa;Czerna Mała (1686);51 30 11;15 11 54;;żagański;51.503055555555555;15.198333333333334
151150040;Nowogród Bobrzański;Bóbr (16);51 47 55;15 14 13;;zielonogórski;51.79861111111111;15.236944444444443
151150050;Dobroszów Wielki;Bóbr (16);51 46 27;15 15 22;;zielonogórski;51.774166666666666;15.25611111111111
151150060;Leśna;Kwisa (166);51 01 42;15 17 12;;lubański;51.02833333333333;15.286666666666667
151150070;Żagań;Czerna Wielka (168);51 36 50;15 17 23;;żagański;51.61388888888889;15.289722222222222
151150080;Żagań;Bóbr (16);51 37 05;15 18 57;;żagański;51.61805555555556;15.315833333333334
151150090;Łozy;Kwisa (166);51 29 29;15 22 07;;żagański;51.49138888888889;15.368611111111111
151150100;Nowogrodziec;Kwisa (166);51 12 11;15 23 45;;bolesławiecki;51.20305555555556;15.395833333333332
151150110;Gryfów Śląski;Kwisa (166);51 01 36;15 24 47;;lwówecki;51.026666666666664;15.413055555555555
151150120;Szprotawa;Bóbr (16);51 33 41;15 31 36;;żagański;51.561388888888885;15.526666666666667
151150130;Szprotawa;Szprotawa (164);51 33 55;15 33 19;;żagański;51.56527777777777;15.555277777777778
151150140;Dąbrowa Bolesławiecka;Bóbr (16);51 19 33;15 34 14;;bolesławiecki;51.325833333333335;15.570555555555556
151150150;Nowa Sól;Odra (1);51 48 08;15 43 18;;nowosolski;51.80222222222222;15.721666666666668
151150160;Zagrodno;Skora (13866);51 11 20;15 51 50;;złotoryjski;51.18888888888888;15.863888888888889
151150170;Świerzawa;Kaczawa (138);51 01 04;15 53 16;;złotoryjski;51.01777777777777;15.887777777777778
151150180;Chojnów;Skora (13866);51 16 22;15 56 44;;legnicki;51.272777777777776;15.945555555555556
151160020;Rzymówka;Kaczawa (138);51 08 22;16 01 32;;złotoryjski;51.13944444444444;16.025555555555556
151160030;Radzyń;Jez. Sławskie (Czernica) (15612);51 52 22;16 02 17;;wschowski;51.87277777777778;16.03805555555556
151160040;Bukowna;Czarna Woda (1386);51 18 36;16 02 49;;lubiński;51.309999999999995;16.046944444444446
151160050;Dunino;Kaczawa (138);51 09 25;16 04 38;;legnicki;51.15694444444444;16.077222222222222
151160060;Głogów;Odra (1);51 40 26;16 03 33;;głogowski;51.67388888888889;16.059166666666666
151160070;Winnica;Nysa Szalona (1384);51 06 42;16 05 37;;legnicki;51.111666666666665;16.09361111111111
151160080;Rzeszotary;Czarna Woda (1386);51 14 56;16 08 41;;legnicki;51.24888888888889;16.14472222222222
151160090;Jawor;Nysa Szalona (1384);51 02 54;16 11 23;;jaworski;51.04833333333333;16.189722222222223
151160100;Piątnica;Kaczawa (138);51 13 40;16 11 57;;legnica;51.22777777777778;16.199166666666667
151160130;Ścinawa;Odra (1);51 24 32;16 26 36;;lubiński;51.40888888888889;16.443333333333335
151160140;Osetno;Barycz (14);51 37 55;16 27 36;;górowski;51.63194444444444;16.46
