149180300;OLZA;Odra (1);2023;02;19;999;03;1;000
149180300;OLZA;Odra (1);2023;02;20;999;03;1;000
149180010;KRZY¯ANOWICE;Odra (1);2023;02;14;999;01;2;000
150170240;KRAPKOWICE;Odra (1);2023;02;19;999;01;8;
151160170;BRZEG DOLNY;Odra (1);2023;02;19;999;03;0;000
151160060;G£OGÓW;Odra (1);2023;02;19;999;03;2;
152140130;PO£ÊCKO;Odra (1);2023;02;16;999;06;3;
152140130;PO£ÊCKO;Odra (1);2023;02;17;999;06;2;
152140130;PO£ÊCKO;Odra (1);2023;02;18;999;06;2;
152140130;PO£ÊCKO;Odra (1);2023;02;19;999;06;2;
152140130;PO£ÊCKO;Odra (1);2023;02;20;999;06;1;
153140050;SZCZECIN-MOST D£UGI;Odra (1);2023;02;19;999;01;9;
149180130;ISTEBNA;Olza (114);2023;04;01;999;03;0;
149180130;ISTEBNA;Olza (114);2023;04;14;999;04;0;
149180060;CIESZYN;Olza (114);2023;02;19;999;03;1;
149180070;CIESZYN;M³ynówka (11448);2023;02;19;1;04;0;
149180070;CIESZYN;M³ynówka (11448);2023;02;20;999;03;4;
150180010;KAMIONKA;Stradunia (1174);2023;02;20;999;03;0;
150170180;RAC£AWICE ŒL¥SKIE;Osob³oga (1176);2023;02;21;999;04;0;
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;01;07;999;;;010
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;01;14;999;;;010
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;01;21;999;;;010
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;01;28;999;;;010
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;02;15;999;03;1;
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;02;19;999;03;1;
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;02;20;999;03;1;
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;04;08;999;03;1;
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;07;15;999;;;010
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;07;22;999;;;010
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;07;29;999;;;010
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;08;05;999;;;011
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;08;12;999;;;011
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;08;19;999;;;011
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;08;26;999;;;011
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;09;03;999;;;011
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;09;10;999;;;011
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;09;17;999;;;011
150180190;KRUPSKI M£YN;Ma³a Panew (118);2023;09;24;999;;;011
